Student Name,College Shift,Enrollment No.,Course,Primary Email ID,Mobile Number,Student JIMS Email Id,Gender,Date of Birth (DD/MM/YYYY Format Only),LinkedIn Profile Link,GitHub Profile Link,Technical Skills,10th Board Name,10th passing Year,10th %,12th Board Name,12th Passing Year,12th %,12th Stream,Graduation College/ Institute Name,Graduation Stream,Graduation Passing Year,Graduation %,Sem 1 SGPA,Sem 2 SGPA,Sem 3 SGPA,Sem 4 SGPA,Sem 5 SGPA,Sem 6 SGPA,Any Gap,"Reason of Gap ( if no gap , write NA)",Open to Pan India Location,Fathers Name,Father Occupation,Fathers Email ID,Father Mobile No.,Mothers Name,Mothers Mobile Number,Mothers Email ID,Any previous work Experience,Internship /Project Details ( otherwise write NA),What you have done,Any Previous campus selection/ offer in Graduation.,Current Placement Status,Placed Company Name
Tushar Singh,Morning,00235003121,BBA,tusharsingh1@gmail.com,9332181960,tusharsingh@jimsindia.org,Male,07/02/2000,linkedin.com/in/tusharsingh,github.com/tusharsingh,Sales|CRM|Excel,ICSE,2016,84.9,CBSE,2018,84.9,Humanities,JIMS,BBA,2024,72.4,7.2,7.4,7.5,7.4,7.4,7.5,No,NA,Yes,Suresh Singh,Government Service,sureshsingh1@gmail.com,8594078161,Seema Singh,8495931034,seemasingh1@gmail.com,Yes,HR Internship,Organized College Fest Campaign,No,Applied,NA
Palak Rana,Evening,00235003132,BCA,palakrana12@gmail.com,9752735454,palakrana@jimsindia.org,Female,01/09/2002,linkedin.com/in/palakrana,github.com/palakrana,Python|Django|SQL,ICSE,2016,80.7,CBSE,2018,83.0,Science,JIMS,BCA,2022,81.8,8.3,8.2,8.2,8.3,8.2,8.3,No,NA,Yes,Rakesh Rana,Sales Executive,rakeshrana12@gmail.com,8557444313,Anita Rana,8182337498,anitarana12@gmail.com,Yes,Web Development Internship at Startup,Created Student Portal,No,Applied,NA
Harsh Gupta,Morning,00235003133,MCA,harshgupta13@gmail.com,9271094777,harshgupta@jimsindia.org,Male,02/03/2002,linkedin.com/in/harshgupta,github.com/harshgupta,DSA|Java|SQL,ICSE,2019,80.8,ICSE,2021,81.1,Science,JIMS,MCA,2024,81.7,8.2,8.1,8.1,8.1,8.1,8.2,No,NA,No,Rakesh Gupta,Consultant,rakeshgupta13@gmail.com,8749649909,Shalini Gupta,8133412328,shalinigupta13@gmail.com,No,NA,Built Placement Dashboard,No,Shortlisted,NA
Riya Malhotra,Evening,00235003134,MCA,riyamalhotra14@gmail.com,9713493618,riyamalhotra@jimsindia.org,Female,05/11/2001,linkedin.com/in/riyamalhotra,github.com/riyamalhotra,DSA|Java|SQL,State Board,2017,88.6,CBSE,2019,89.1,Science,JIMS,MCA,2024,84.5,8.6,8.6,8.6,8.6,8.6,8.6,No,NA,No,Rajiv Malhotra,Government Service,rajivmalhotra14@gmail.com,8940139904,Preeti Malhotra,8027874296,preetimalhotra14@gmail.com,Yes,Software Development Internship,Built Internship Portal,No,Unplaced,NA
Rajat Tiwari,Evening,00235003135,BCA,rajattiwari15@gmail.com,9680715451,rajattiwari@jimsindia.org,Male,27/09/2003,linkedin.com/in/rajattiwari,github.com/rajattiwari,Java|React|SQL,State Board,2019,81.5,CBSE,2021,82.3,Science,JIMS,BCA,2023,78.0,7.5,7.4,7.4,7.5,7.6,7.4,No,NA,No,Rajiv Tiwari,Manager,rajivtiwari15@gmail.com,8480861317,Kavita Tiwari,8274846773,kavitatiwari15@gmail.com,No,NA,Created Student Portal,No,Placed,Tech Mahindra
Kavya Joshi,Evening,00235003136,BCA,kavyajoshi16@gmail.com,9840449972,kavyajoshi@jimsindia.org,Female,16/09/2003,linkedin.com/in/kavyajoshi,github.com/kavyajoshi,Java|Spring Boot|MySQL,ICSE,2018,79.8,ICSE,2020,77.3,Commerce,JIMS,BCA,2024,71.8,7.2,7.3,7.2,7.3,7.4,7.6,No,NA,Yes,Mahesh Joshi,Bank Employee,maheshjoshi16@gmail.com,8270289517,Kavita Joshi,8870262174,kavitajoshi16@gmail.com,No,NA,Built REST API Project,No,Placed,Tech Mahindra
Dev Gupta,Morning,00235003137,BCA,devgupta17@gmail.com,9431611724,devgupta@jimsindia.org,Male,11/01/2000,linkedin.com/in/devgupta,github.com/devgupta,Java|React|SQL,CBSE,2018,71.8,State Board,2020,71.6,Commerce,JIMS,BCA,2023,79.3,7.8,8.0,8.0,8.0,8.1,8.1,No,NA,Yes,Sunil Gupta,Bank Employee,sunilgupta17@gmail.com,8074821759,Rekha Gupta,8647436713,rekhagupta17@gmail.com,No,NA,Developed E-commerce Frontend,No,Placed,Capgemini
Kavya Sharma,Morning,00235003138,BBA,kavyasharma18@gmail.com,9743953394,kavyasharma@jimsindia.org,Female,04/11/2001,linkedin.com/in/kavyasharma,github.com/kavyasharma,Excel|Power BI|Communication,CBSE,2018,77.5,State Board,2020,72.9,Humanities,JIMS,BBA,2024,86.2,8.4,8.5,8.6,8.6,8.7,8.6,No,NA,No,Ashok Sharma,Engineer,ashoksharma18@gmail.com,8517123685,Kavita Sharma,8604817549,kavitasharma18@gmail.com,No,NA,Worked on Sales Analysis Dashboard,No,Unplaced,NA
Manav Arora,Morning,00235003139,MCA,manavarora19@gmail.com,9746120047,manavarora@jimsindia.org,Male,08/02/2000,linkedin.com/in/manavarora,github.com/manavarora,React|Node.js|MongoDB,State Board,2019,92.7,CBSE,2021,94.4,Science,JIMS,MCA,2025,78.8,8.1,8.2,8.3,8.4,8.6,8.5,No,NA,Yes,Ashok Arora,Accountant,ashokarora19@gmail.com,8515850643,Kavita Arora,8713900532,kavitaarora19@gmail.com,Yes,Data Analyst Internship,Built Placement Dashboard,No,Applied,NA
Muskaan Joshi,Morning,00235003140,BBA,muskaanjoshi20@gmail.com,9904228421,muskaanjoshi@jimsindia.org,Female,01/03/2000,linkedin.com/in/muskaanjoshi,github.com/muskaanjoshi,Business Analysis|PowerPoint|Excel,ICSE,2017,72.5,State Board,2019,67.1,Humanities,JIMS,BBA,2022,82.8,8.4,8.5,8.5,8.4,8.5,8.6,No,NA,No,Mahesh Joshi,Bank Employee,maheshjoshi20@gmail.com,8847007661,Meena Joshi,8711592124,meenajoshi20@gmail.com,Yes,Business Development Internship,Created HR Recruitment Tracker,No,Applied,NA
Arjun Narang,Morning,00235003141,BBA,arjunnarang21@gmail.com,9836736576,arjunnarang@jimsindia.org,Male,04/12/2003,linkedin.com/in/arjunnarang,github.com/arjunnarang,Business Analysis|PowerPoint|Excel,State Board,2019,77.7,State Board,2021,73.4,Commerce,JIMS,BBA,2023,86.5,8.4,8.3,8.4,8.5,8.6,8.6,No,NA,Yes,Suresh Narang,Shop Owner,sureshnarang21@gmail.com,8560494519,Seema Narang,8327315851,seemanarang21@gmail.com,Yes,HR Internship,Created HR Recruitment Tracker,Yes,Placed,Genpact
Aastha Saini,Evening,00235003142,BCA,aasthasaini22@gmail.com,9445502296,aasthasaini@jimsindia.org,Female,24/03/2000,linkedin.com/in/aasthasaini,github.com/aasthasaini,Java|React|SQL,CBSE,2016,77.8,ICSE,2018,76.8,Commerce,JIMS,BCA,2024,71.1,7.0,7.1,7.2,7.2,7.3,7.2,No,NA,Yes,Rakesh Saini,Consultant,rakeshsaini22@gmail.com,8976438156,Kavita Saini,8497840369,kavitasaini22@gmail.com,No,NA,Created Student Portal,No,Unplaced,NA
Rajat Singh,Morning,00235003143,MCA,rajatsingh23@gmail.com,9622683885,rajatsingh@jimsindia.org,Male,28/07/2000,linkedin.com/in/rajatsingh,github.com/rajatsingh,Java|Spring Boot|MySQL,CBSE,2019,90.4,State Board,2021,90.7,Science,JIMS,MCA,2025,79.5,7.9,7.8,7.8,7.9,8.0,8.1,Yes,Medical reasons,Yes,Suresh Singh,Accountant,sureshsingh23@gmail.com,8696816453,Anita Singh,8218188355,anitasingh23@gmail.com,Yes,Data Analyst Internship,Developed ML Prediction Model,No,Unplaced,NA
Prachi Joshi,Morning,00235003144,BCA,prachijoshi24@gmail.com,9779979955,prachijoshi@jimsindia.org,Female,03/08/2001,linkedin.com/in/prachijoshi,github.com/prachijoshi,C#|ASP.NET|SQL Server,ICSE,2019,83.4,ICSE,2021,81.3,Commerce,JIMS,BCA,2024,69.5,6.7,6.6,6.7,6.9,6.8,6.9,No,NA,Yes,Deepak Joshi,Business,deepakjoshi24@gmail.com,8793597820,Meena Joshi,8151820377,meenajoshi24@gmail.com,No,NA,Made Attendance Tracker,No,Applied,NA
Abhishek Jain,Morning,00235003145,BBA,abhishekjain25@gmail.com,9515186449,abhishekjain@jimsindia.org,Male,03/06/2001,linkedin.com/in/abhishekjain,github.com/abhishekjain,HR|Management|Communication,State Board,2018,85.2,State Board,2020,80.6,Commerce,JIMS,BBA,2024,82.2,8.0,8.0,7.9,8.0,8.2,8.3,Yes,Medical reasons,Yes,Rakesh Jain,Sales Executive,rakeshjain25@gmail.com,8505423573,Neelam Jain,8221418880,neelamjain25@gmail.com,Yes,HR Internship,Managed Social Media Campaign,No,Unplaced,NA
Mansi Saxena,Morning,00235003146,MCA,mansisaxena26@gmail.com,9379473834,mansisaxena@jimsindia.org,Female,12/04/2003,linkedin.com/in/mansisaxena,github.com/mansisaxena,Power BI|SQL|Excel,CBSE,2019,81.7,CBSE,2021,86.3,Science,JIMS,MCA,2025,84.3,8.4,8.4,8.6,8.6,8.5,8.7,Yes,Preparation for competitive exams,Yes,Mukesh Saxena,Engineer,mukeshsaxena26@gmail.com,8782613750,Suman Saxena,8068536153,sumansaxena26@gmail.com,No,NA,Built Placement Dashboard,No,Shortlisted,NA
Nikhil Mishra,Morning,00235003147,BBA,nikhilmishra27@gmail.com,9779010432,nikhilmishra@jimsindia.org,Male,25/02/2003,linkedin.com/in/nikhilmishra,github.com/nikhilmishra,Finance|Tally|MS Excel,State Board,2017,74.2,State Board,2019,75.2,Humanities,JIMS,BBA,2022,80.5,7.9,7.9,8.0,8.1,8.2,8.1,No,NA,Yes,Pradeep Mishra,Shop Owner,pradeepmishra27@gmail.com,8218518888,Seema Mishra,8067065405,seemamishra27@gmail.com,Yes,Business Development Internship,Prepared Market Research Report,No,Shortlisted,NA
Aditi Gupta,Evening,00235003148,MCA,aditigupta28@gmail.com,9277221704,aditigupta@jimsindia.org,Female,26/01/2001,linkedin.com/in/aditigupta,github.com/aditigupta,AWS|Docker|Java,State Board,2016,78.4,ICSE,2018,81.4,Science,JIMS,MCA,2025,77.5,7.4,7.6,7.5,7.6,7.5,7.6,No,NA,Yes,Ashok Gupta,Shop Owner,ashokgupta28@gmail.com,8527758416,Kavita Gupta,8692845115,kavitagupta28@gmail.com,Yes,Cloud Internship,Built Internship Portal,No,Applied,NA
Ayush Gupta,Evening,00235003149,MCA,ayushgupta29@gmail.com,9640165820,ayushgupta@jimsindia.org,Male,22/10/2001,linkedin.com/in/ayushgupta,github.com/ayushgupta,Power BI|SQL|Excel,State Board,2016,88.2,ICSE,2018,86.2,Science,JIMS,MCA,2024,75.7,7.7,7.9,7.8,8.0,8.0,8.0,No,NA,Yes,Anil Gupta,Teacher,anilgupta29@gmail.com,8027868144,Shalini Gupta,8739473121,shalinigupta29@gmail.com,No,NA,Built Internship Portal,Yes,Placed,Cognizant
Shruti Khanna,Evening,00235003150,BBA,shrutikhanna30@gmail.com,9225831323,shrutikhanna@jimsindia.org,Female,12/01/2003,linkedin.com/in/shrutikhanna,github.com/shrutikhanna,Business Analysis|PowerPoint|Excel,State Board,2019,91.0,State Board,2021,85.7,Commerce,JIMS,BBA,2024,76.0,7.7,7.7,7.7,7.6,7.6,7.5,No,NA,Yes,Mukesh Khanna,Sales Executive,mukeshkhanna30@gmail.com,8922680182,Rekha Khanna,8225358414,rekhakhanna30@gmail.com,No,NA,Managed Social Media Campaign,No,Shortlisted,NA
Pranav Bhardwaj,Morning,00235003151,MCA,pranavbhardwaj31@gmail.com,9922995900,pranavbhardwaj@jimsindia.org,Male,21/01/2000,linkedin.com/in/pranavbhardwaj,github.com/pranavbhardwaj,DSA|Java|SQL,CBSE,2017,84.6,CBSE,2019,84.1,Science,JIMS,MCA,2025,80.5,8.1,8.2,8.3,8.3,8.2,8.1,No,NA,Yes,Anil Bhardwaj,Government Service,anilbhardwaj31@gmail.com,8925556258,Seema Bhardwaj,8153714732,seemabhardwaj31@gmail.com,No,NA,Created ERP Module,Yes,Placed,Deloitte
Palak Sethi,Evening,00235003152,BCA,palaksethi32@gmail.com,9278774701,palaksethi@jimsindia.org,Female,15/09/2003,linkedin.com/in/palaksethi,github.com/palaksethi,Python|Django|SQL,CBSE,2017,69.3,CBSE,2019,68.7,Science,JIMS,BCA,2024,85.6,8.6,8.8,8.8,8.9,9.0,9.1,No,NA,Yes,Pradeep Sethi,Sales Executive,pradeepsethi32@gmail.com,8358416878,Rekha Sethi,8991216558,rekhasethi32@gmail.com,Yes,Backend Internship at Local Firm,Created Student Portal,No,Applied,NA
Rohit Narang,Evening,00235003153,BBA,rohitnarang33@gmail.com,9872982595,rohitnarang@jimsindia.org,Male,20/07/2001,linkedin.com/in/rohitnarang,github.com/rohitnarang,Finance|Tally|MS Excel,ICSE,2018,80.7,State Board,2020,80.9,Commerce,JIMS,BBA,2024,77.5,7.3,7.3,7.2,7.4,7.5,7.6,No,NA,Yes,Sanjay Narang,Supervisor,sanjaynarang33@gmail.com,8930972896,Poonam Narang,8309130756,poonamnarang33@gmail.com,No,NA,Prepared Market Research Report,No,Shortlisted,NA
Jhanvi Mehta,Morning,00235003154,MCA,jhanvimehta34@gmail.com,9786527858,jhanvimehta@jimsindia.org,Female,25/11/2002,linkedin.com/in/jhanvimehta,github.com/jhanvimehta,DSA|Java|SQL,CBSE,2019,82.5,State Board,2021,79.0,Science,JIMS,MCA,2024,87.5,8.4,8.5,8.5,8.5,8.6,8.8,No,NA,Yes,Sanjay Mehta,Sales Executive,sanjaymehta34@gmail.com,8665240415,Monika Mehta,8747338484,monikamehta34@gmail.com,No,NA,Developed Microservices Backend,No,Unplaced,NA
Tushar Arora,Morning,00235003155,BCA,tushararora35@gmail.com,9571208267,tushararora@jimsindia.org,Male,07/11/2003,linkedin.com/in/tushararora,github.com/tushararora,HTML|CSS|JavaScript,CBSE,2018,91.6,State Board,2020,86.6,Commerce,JIMS,BCA,2023,79.5,8.2,8.3,8.3,8.4,8.3,8.5,Yes,Financial issues,No,Mukesh Arora,Engineer,mukesharora35@gmail.com,8004991547,Kiran Arora,8887287431,kiranarora35@gmail.com,No,NA,Built REST API Project,No,Shortlisted,NA
Ishita Chawla,Morning,00235003156,BCA,ishitachawla36@gmail.com,9668516122,ishitachawla@jimsindia.org,Female,08/06/2003,linkedin.com/in/ishitachawla,github.com/ishitachawla,Java|React|SQL,CBSE,2018,87.6,State Board,2020,92.1,Science,JIMS,BCA,2023,74.0,7.4,7.5,7.4,7.3,7.2,7.2,No,NA,No,Rajiv Chawla,Engineer,rajivchawla36@gmail.com,8145933272,Meena Chawla,8956878339,meenachawla36@gmail.com,Yes,Web Development Internship at Startup,Made Attendance Tracker,No,Shortlisted,NA
Vivaan Khanna,Morning,00235003157,MCA,vivaankhanna37@gmail.com,9225871397,vivaankhanna@jimsindia.org,Male,15/09/2000,linkedin.com/in/vivaankhanna,github.com/vivaankhanna,Java|Spring Boot|MySQL,CBSE,2019,79.9,CBSE,2021,74.5,Science,JIMS,MCA,2026,77.2,7.9,8.1,8.2,8.2,8.1,8.1,No,NA,No,Pankaj Khanna,Teacher,pankajkhanna37@gmail.com,8704622656,Meena Khanna,8661825128,meenakhanna37@gmail.com,No,NA,Developed ML Prediction Model,No,Unplaced,NA
Nandini Saini,Evening,00235003158,MCA,nandinisaini38@gmail.com,9337524310,nandinisaini@jimsindia.org,Female,25/10/2003,linkedin.com/in/nandinisaini,github.com/nandinisaini,Java|Spring Boot|MySQL,State Board,2017,83.4,ICSE,2019,82.3,Science,JIMS,MCA,2024,81.4,8.1,8.1,8.2,8.3,8.4,8.3,Yes,Family responsibilities,No,Rajiv Saini,Supervisor,rajivsaini38@gmail.com,8599534283,Suman Saini,8440892687,sumansaini38@gmail.com,No,NA,Created ERP Module,No,Shortlisted,NA
Mohit Mehta,Evening,00235003159,MCA,mohitmehta39@gmail.com,9873342708,mohitmehta@jimsindia.org,Male,18/07/2003,linkedin.com/in/mohitmehta,github.com/mohitmehta,React|Node.js|MongoDB,ICSE,2019,76.6,State Board,2021,71.5,Science,JIMS,MCA,2025,77.0,7.7,7.6,7.6,7.7,7.6,7.5,No,NA,Yes,Sanjay Mehta,Sales Executive,sanjaymehta39@gmail.com,8373540331,Shalini Mehta,8739363854,shalinimehta39@gmail.com,No,NA,Developed Microservices Backend,No,Unplaced,NA
Nandini Singh,Evening,00235003160,BBA,nandinisingh40@gmail.com,9535560932,nandinisingh@jimsindia.org,Female,18/05/2000,linkedin.com/in/nandinisingh,github.com/nandinisingh,Digital Marketing|Canva|SEO,CBSE,2018,74.0,CBSE,2020,74.3,Humanities,JIMS,BBA,2023,72.9,7.4,7.5,7.6,7.7,7.8,7.8,No,NA,Yes,Mukesh Singh,Sales Executive,mukeshsingh40@gmail.com,8728080100,Suman Singh,8231203875,sumansingh40@gmail.com,No,NA,Managed Social Media Campaign,No,Shortlisted,NA
Aarav Sharma,Evening,00235003161,MCA,aaravsharma41@gmail.com,9408621182,aaravsharma@jimsindia.org,Male,20/04/2001,linkedin.com/in/aaravsharma,github.com/aaravsharma,DSA|Java|SQL,CBSE,2018,77.7,State Board,2020,76.2,Science,JIMS,MCA,2025,79.3,8.1,8.3,8.4,8.5,8.6,8.5,No,NA,Yes,Rajesh Sharma,Bank Employee,rajeshsharma41@gmail.com,8021765918,Monika Sharma,8033974014,monikasharma41@gmail.com,Yes,Software Development Internship,Developed ML Prediction Model,Yes,Unplaced,NA
Prachi Narang,Evening,00235003162,BBA,prachinarang42@gmail.com,9429396856,prachinarang@jimsindia.org,Female,24/12/2001,linkedin.com/in/prachinarang,github.com/prachinarang,Marketing|SEO|Excel,ICSE,2018,74.0,ICSE,2020,68.8,Humanities,JIMS,BBA,2023,80.1,8.2,8.2,8.3,8.4,8.4,8.4,No,NA,Yes,Mukesh Narang,Bank Employee,mukeshnarang42@gmail.com,8961943114,Poonam Narang,8626551104,poonamnarang42@gmail.com,No,NA,Worked on Sales Analysis Dashboard,No,Unplaced,NA
Arjun Sharma,Morning,00235003163,BCA,arjunsharma43@gmail.com,9199560466,arjunsharma@jimsindia.org,Male,18/12/2000,linkedin.com/in/arjunsharma,github.com/arjunsharma,Python|Django|SQL,State Board,2017,71.6,CBSE,2019,68.9,Commerce,JIMS,BCA,2024,77.9,7.5,7.5,7.4,7.3,7.3,7.4,No,NA,Yes,Suresh Sharma,Manager,sureshsharma43@gmail.com,8406596575,Suman Sharma,8924593752,sumansharma43@gmail.com,Yes,Frontend Internship,Developed E-commerce Frontend,No,Shortlisted,NA
Sakshi Yadav,Evening,00235003164,MCA,sakshiyadav44@gmail.com,9939828073,sakshiyadav@jimsindia.org,Female,27/05/2003,linkedin.com/in/sakshiyadav,github.com/sakshiyadav,Python|ML|Django,State Board,2019,84.5,State Board,2021,81.2,Science,JIMS,MCA,2025,81.2,8.2,8.4,8.4,8.4,8.5,8.6,No,NA,Yes,Deepak Yadav,Government Service,deepakyadav44@gmail.com,8891135290,Preeti Yadav,8656101438,preetiyadav44@gmail.com,Yes,Data Analyst Internship,Built Internship Portal,No,Applied,NA
Ankit Sharma,Evening,00235003165,BCA,ankitsharma45@gmail.com,9611254573,ankitsharma@jimsindia.org,Male,16/06/2003,linkedin.com/in/ankitsharma,github.com/ankitsharma,C++|DSA|MySQL,ICSE,2019,76.3,State Board,2021,73.6,Commerce,JIMS,BCA,2024,84.2,8.4,8.4,8.4,8.5,8.5,8.4,No,NA,Yes,Ashok Sharma,Accountant,ashoksharma45@gmail.com,8622660937,Preeti Sharma,8660334191,preetisharma45@gmail.com,Yes,Backend Internship at Local Firm,Developed E-commerce Frontend,No,Applied,NA
Khushi Bhardwaj,Evening,00235003166,MCA,khushibhardwaj46@gmail.com,9969155792,khushibhardwaj@jimsindia.org,Female,19/10/2002,linkedin.com/in/khushibhardwaj,github.com/khushibhardwaj,Python|ML|Django,ICSE,2017,75.9,CBSE,2019,71.9,Science,JIMS,MCA,2024,81.9,8.0,8.0,8.0,8.0,8.1,8.2,Yes,Family responsibilities,Yes,Mukesh Bhardwaj,Manager,mukeshbhardwaj46@gmail.com,8579050723,Vandana Bhardwaj,8688767677,vandanabhardwaj46@gmail.com,No,NA,Developed Microservices Backend,No,Shortlisted,NA
